"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R320","2020-02-15 00:00:00","7.000","111.000","1.100","22.600","0.940","1016.000","","-99.000","-99.000","-99.000","-99.000","29.200","","19.700",""
"C0S980","2020-02-15 00:00:00","901.000","235.000","2.000","18.300","1.000","917.500","","3.500","-99.000","-99.000","-99.000","23.400","","16.600",""
"C0V310","2020-02-15 00:00:00","46.000","279.000","0.300","23.200","0.910","1010.700","","0.000","-99.000","-99.000","-99.000","31.000","","18.700",""
"C0G620","2020-02-15 00:00:00","110.000","0.000","0.200","20.600","0.950","1003.900","","0.000","-99.000","-99.000","-99.000","29.200","","17.900",""
"C0AD50","2020-02-15 00:00:00","84.000","325.000","1.400","18.700","1.000","1009.500","","0.000","-99.000","-99.000","-99.000","27.000","","17.900",""
"C0A9A0","2020-02-15 00:00:00","24.000","0.000","0.100","18.800","0.960","1016.000","","0.500","-99.000","-99.000","-99.000","27.000","","17.800",""
"C0O830","2020-02-15 00:00:00","127.000","106.000","1.500","21.500","0.990","1002.700","","6.000","-99.000","-99.000","-99.000","30.800","","17.200",""
"C0S760","2020-02-15 00:00:00","1621.000","185.000","1.300","13.700","1.000","843.300","","0.500","-99.000","-99.000","-99.000","19.600","","12.400",""
"C0X160","2020-02-15 00:00:00","26.000","353.000","1.000","22.500","1.000","1014.000","","0.000","-99.000","-99.000","-99.000","28.800","","20.700",""
"C0C490","2020-02-15 00:00:00","157.000","315.000","0.800","18.100","0.930","1000.400","","0.000","-99.000","-99.000","-99.000","26.800","","17.600",""
"C0F970","2020-02-15 00:00:00","145.000","152.000","0.600","22.100","0.740","999.900","","0.000","-99.000","-99.000","-99.000","28.100","","18.000",""
"C0R440","2020-02-15 00:00:00","1654.000","147.000","2.700","13.400","1.000","837.900","","1.000","-99.000","-99.000","-99.000","19.400","","12.100",""
"C0M690","2020-02-15 00:00:00","33.000","27.000","1.200","21.100","0.940","1012.300","","0.500","-99.000","-99.000","-99.000","28.300","","20.300",""
"C0V690","2020-02-15 00:00:00","30.000","45.000","2.200","24.700","0.910","1013.800","","0.000","-99.000","-99.000","-99.000","27.700","","22.100",""
"C0Z210","2020-02-15 00:00:00","126.000","358.000","2.500","21.400","0.990","1003.900","","0.000","-99.000","-99.000","-99.000","27.800","","19.200",""
"C0U770","2020-02-15 00:00:00","5.000","35.000","1.700","21.800","0.990","1017.000","","0.000","-99.000","-99.000","-99.000","25.700","","20.100",""
"C0Z080","2020-02-15 00:00:00","298.000","351.000","1.200","20.300","0.990","983.400","","0.000","-99.000","-99.000","-99.000","30.400","","18.500",""
"C0R480","2020-02-15 00:00:00","57.000","41.000","0.800","23.700","0.910","1010.100","","0.000","-99.000","-99.000","-99.000","28.900","","19.400",""
"C0A9E0","2020-02-15 00:00:00","26.000","253.000","1.200","18.900","0.900","1016.400","","0.500","-99.000","-99.000","-99.000","27.200","","18.200",""
"C0R590","2020-02-15 00:00:00","72.000","359.000","1.900","23.100","0.990","1008.200","","0.000","-99.000","-99.000","-99.000","28.500","","19.300",""
"C0G820","2020-02-15 00:00:00","29.000","0.000","0.000","21.000","0.920","1014.200","","0.000","-99.000","-99.000","-99.000","28.600","","18.900",""
"C0U600","2020-02-15 00:00:00","10.000","313.000","0.400","20.000","0.990","1015.900","","0.000","-99.000","-99.000","-99.000","25.500","","19.600",""
"C0U910","2020-02-15 00:00:00","17.000","107.000","1.500","20.600","0.910","1016.000","","0.000","-99.000","-99.000","-99.000","24.400","","20.400",""
